站点代码,数据时间,气温,气压,相对湿度,风向,风速,降雨量,能见度
58015,20220511225209,10.7,1007.2,8,286,7.9,1.0,10416.1
58102,20220511225209,9.5,1026.1,25,21,2.5,0.3,10113.5
58118,20220511225209,27.0,1022.7,25,132,8.1,0.7,10036.9
58122,20220511225209,26.6,1025.7,36,323,5.6,0.9,10391.3
58203,20220511225209,10.6,1005.5,55,258,9.2,0.6,10314.7
58215,20220511225209,32.3,1023.5,9,49,14.6,0.0,10477.3
58221,20220511225209,16.9,1004.0,34,305,13.7,0.1,10353.9
58225,20220511225209,9.6,1017.7,97,342,10.6,0.0,10155.7
58236,20220511225209,19.9,1008.6,21,143,8.8,0.3,10114.4
58311,20220511225209,26.4,1021.6,44,306,3.1,1.5,10358.5
58314,20220511225209,2.8,1015.7,32,33,2.3,0.0,10046.1
58319,20220511225209,31.3,1023.6,48,281,2.0,1.2,10096.6
58321,20220511225209,19.6,1022.2,23,260,12.5,0.2,10050.3
58326,20220511225209,7.2,1026.4,10,55,1.2,0.8,10294.5
58336,20220511225209,4.1,1015.0,91,4,9.3,0.9,10043.6
58338,20220511225209,32.7,1014.1,89,260,6.7,0.7,10122.9
58414,20220511225209,21.1,1021.0,19,207,6.7,0.0,10238.4
58419,20220511225209,32.1,1011.6,75,337,0.6,0.4,10075.0
58424,20220511225209,17.5,1019.0,56,54,4.6,0.9,10491.0
58429,20220511225209,5.6,1011.2,69,21,1.3,0.0,10200.9
58436,20220511225209,16.3,1022.5,4,93,13.1,1.3,10219.6
58437,20220511225209,28.5,1008.0,100,263,5.2,0.5,10230.1
58520,20220511225209,33.5,1012.4,54,150,5.0,1.2,10039.8
58531,20220511225209,29.8,1022.4,88,181,13.3,0.7,10345.7
54406,20220511225209,18.7,1002.0,44,242,1.1,0.3,10412.4
54416,20220511225209,29.3,1000.4,48,92,4.2,1.0,10273.2
54511,20220511225209,23.2,1009.4,89,286,3.1,0.5,10275.6
58725,20220511225209,33.7,1023.4,86,41,1.5,0.1,10463.9
58730,20220511225209,3.8,1020.2,77,18,10.0,0.3,10369.6
58731,20220511225209,19.6,1011.7,40,57,4.7,1.4,10291.9
58734,20220511225209,10.2,1001.9,90,235,5.5,1.3,10297.3
58737,20220511225209,20.9,1007.2,82,159,12.8,1.5,10483.6
58744,20220511225209,33.0,1015.6,79,195,3.0,1.4,10490.5
58754,20220511225209,11.8,1013.8,78,143,0.2,1.2,10137.7
58818,20220511225209,12.4,1018.4,55,100,13.8,1.5,10246.3
58820,20220511225209,8.2,1010.9,73,2,14.6,1.4,10385.2
58834,20220511225209,24.8,1018.0,7,351,12.3,0.8,10274.8
58837,20220511225209,21.0,1003.6,12,246,12.1,0.0,10403.2
58843,20220511225209,23.7,1023.4,35,225,0.8,0.4,10280.7
58846,20220511225209,26.1,1022.5,46,1,5.9,1.3,10158.1
58847,20220511225209,34.4,1019.0,78,104,10.2,0.7,10158.0
58911,20220511225209,1.2,1024.6,74,131,1.4,0.0,10142.7
58918,20220511225209,31.8,1009.2,51,41,2.8,0.4,10439.7
58921,20220511225209,28.3,1006.6,4,346,11.3,0.4,10176.5
58926,20220511225209,2.0,1003.0,56,32,4.5,1.2,10261.7
58927,20220511225209,32.5,1001.4,25,283,4.3,0.1,10019.0
58931,20220511225209,13.2,1021.4,24,73,5.6,1.4,10165.3
58933,20220511225209,15.2,1024.2,93,217,13.9,0.3,10195.4
58936,20220511225209,11.4,1011.1,97,297,6.6,1.5,10376.5
58944,20220511225209,18.1,1026.1,30,101,10.7,0.9,10218.9
59113,20220511225209,9.3,1016.3,44,28,3.7,1.5,10365.1
59126,20220511225209,6.7,1008.0,60,334,10.7,1.1,10199.2
