站点代码,数据时间,气温,气压,相对湿度,风向,风速,降雨量,能见度
58015,20220516162554,29.1,1025.0,46,56,4.4,1.0,10142.5
58102,20220516162554,11.3,1009.5,58,116,8.1,0.6,10018.3
58118,20220516162554,11.0,1002.6,45,98,2.8,0.0,10103.2
58122,20220516162554,12.8,1014.8,91,288,10.2,1.4,10129.5
58203,20220516162554,30.2,1015.5,22,213,3.5,0.6,10466.7
58215,20220516162554,12.6,1008.2,68,23,7.3,1.2,10047.6
58221,20220516162554,18.5,1018.6,20,295,8.9,0.4,10008.8
58225,20220516162554,30.0,1023.7,92,158,0.5,0.9,10141.9
58236,20220516162554,21.3,1009.2,58,153,10.4,1.0,10348.6
58311,20220516162554,14.6,1018.1,56,144,4.9,0.2,10009.8
58314,20220516162554,33.6,1019.8,19,222,10.6,0.6,10352.8
58319,20220516162554,3.6,1000.4,76,154,10.8,1.4,10438.7
58321,20220516162554,25.3,1000.2,24,25,9.1,0.8,10341.0
58326,20220516162554,14.5,1000.7,98,118,10.8,1.3,10159.7
58336,20220516162554,20.6,1007.7,22,315,7.8,1.5,10317.5
58338,20220516162554,15.4,1001.1,49,200,13.5,0.7,10073.0
58414,20220516162554,7.1,1010.7,32,252,14.6,0.2,10447.5
58419,20220516162554,22.6,1009.3,41,27,10.0,1.0,10041.5
58424,20220516162554,20.8,1019.8,40,298,7.0,1.2,10164.2
58429,20220516162554,13.0,1010.9,24,355,13.5,1.5,10231.7
58436,20220516162554,3.5,1023.0,14,79,3.9,0.0,10482.0
58437,20220516162554,23.1,1024.0,73,16,13.8,0.1,10160.2
58520,20220516162554,10.6,1007.8,42,79,9.6,0.5,10054.0
58531,20220516162554,3.4,1021.0,75,37,14.9,1.4,10006.5
54406,20220516162554,19.2,1022.4,20,128,6.6,0.8,10326.8
54416,20220516162554,12.4,1006.4,63,4,8.1,1.0,10228.7
54511,20220516162554,6.2,1002.4,90,240,0.2,0.6,10448.7
